symbol	alias_symbol	prev_symbol	name
A1BG			alpha-1-B glycoprotein
A1BG-AS1	FLJ23569	"NCRNA00181|A1BGAS|A1BG-AS"	A1BG antisense RNA 1
A1CF	"ACF|ASP|ACF64|ACF65|APOBEC1CF"		APOBEC1 complementation factor
A2M	"FWP007|S863-7|CPAMD5"		alpha-2-macroglobulin
A2M-AS1			A2M antisense RNA 1
A2ML1	"FLJ25179|p170"	CPAMD9	alpha-2-macroglobulin like 1
A2ML1-AS1			A2ML1 antisense RNA 1
A2ML1-AS2			A2ML1 antisense RNA 2
A2MP1		A2MP	alpha-2-macroglobulin pseudogene 1
A3GALT2	"IGBS3S|IGB3S"	A3GALT2P	alpha 1,3-galactosyltransferase 2
A4GALT	"A14GALT|Gb3S|P(k)"	P1	alpha 1,4-galactosyltransferase (P1PK blood group)
A4GNT	alpha4GnT		alpha-1,4-N-acetylglucosaminyltransferase
AAAS			aladin WD repeat nucleoporin
AACS	"FLJ12389|SUR-5|ACSF1"		acetoacetyl-CoA synthetase
AACSP1		AACSL	acetoacetyl-CoA synthetase pseudogene 1
AADAC	"DAC|CES5A1"		arylacetamide deacetylase
AADACL2	MGC72001		arylacetamide deacetylase like 2
AADACL2-AS1			AADACL2 antisense RNA 1
AADACL3	OTTHUMG00000001887		arylacetamide deacetylase like 3
AADACL4	OTTHUMG00000001889		arylacetamide deacetylase like 4
AADACP1			arylacetamide deacetylase pseudogene 1
AADAT	"KATII|KAT2|KYAT2"		aminoadipate aminotransferase
AAGAB	"FLJ11506|p34"		alpha and gamma adaptin binding protein
AAK1	"KIAA1048|DKFZp686K16132"		AP2 associated kinase 1
AAMDC	"PTD015|FLJ21035|CK067"	C11orf67	adipogenesis associated Mth938 domain containing
AAMP			angio associated migratory cell protein
AANAT	SNAT		aralkylamine N-acetyltransferase
AAR2	bA234K24.2	C20orf4	AAR2 splicing factor
AARD	LOC441376	C8orf85	alanine and arginine rich domain containing protein
AARS1	"CMT2N|AlaRS"	AARS	alanyl-tRNA synthetase 1
AARS1P1		AARSP1	alanyl-tRNA synthetase 1 pseudogene 1
AARS2	"KIAA1270|bA444E17.1"	AARSL	alanyl-tRNA synthetase 2, mitochondrial
AARSD1	"MGC2744|AlaXp"		alanyl-tRNA synthetase domain containing 1
AARSD1P1			AARSD1 pseudogene 1
AASDH	"NRPS998|LYS2|ACSF4"		aminoadipate-semialdehyde dehydrogenase
AASDHPPT	"LYS5|CGI-80|AASD-PPT|ACPS"		aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase
AASS	"LORSDH|LKRSDH"		aminoadipate-semialdehyde synthase
AATBC			apoptosis associated transcript in bladder cancer
AATF	"DED|CHE-1|CHE1|BFR2"		apoptosis antagonizing transcription factor
AATK	"AATYK|KIAA0641|LMTK1|LMR1|AATYK1|PPP1R77"		apoptosis associated tyrosine kinase
AAVS1	AAV		adeno-associated virus integration site 1
ABALON	INXS		apoptotic BCL2L1-antisense long non-coding RNA
ABAT	"GABAT|GABA-T"		4-aminobutyrate aminotransferase
ABCA1	TGD	"ABC1|HDLDT1"	ATP binding cassette subfamily A member 1
ABCA2		ABC2	ATP binding cassette subfamily A member 2
ABCA3	"ABC-C|EST111653|LBM180"	ABC3	ATP binding cassette subfamily A member 3
ABCA3P1			ABCA3 pseudogene 1
ABCA4	"FFM|ARMD2|CORD3"	"STGD1|ABCR|RP19|STGD"	ATP binding cassette subfamily A member 4
ABCA5	EST90625		ATP binding cassette subfamily A member 5
ABCA6	EST155051		ATP binding cassette subfamily A member 6
ABCA7	ABCX		ATP binding cassette subfamily A member 7
ABCA8	KIAA0822		ATP binding cassette subfamily A member 8
ABCA9	EST640918		ATP binding cassette subfamily A member 9
ABCA9-AS1			ABCA9 antisense RNA 1
ABCA10	EST698739		ATP binding cassette subfamily A member 10
ABCA11P	"EST1133530|FLJ14297"	ABCA11	ATP binding cassette subfamily A member 11, pseudogene
ABCA12	"DKFZP434G232|LI2"	ICR2B	ATP binding cassette subfamily A member 12
ABCA13	"FLJ33876|FLJ33951"		ATP binding cassette subfamily A member 13
ABCA15P	FLJ41766	"NCRNA00169|CRYM-AS1"	ATP binding cassette subfamily A member 15, pseudogene
ABCA17P			ATP binding cassette subfamily A member 17, pseudogene
ABCB1	"P-gp|CD243|GP170|ABC20|p-170|ENPAT"	"PGY1|MDR1|CLCS"	ATP binding cassette subfamily B member 1
ABCB4	"MDR2|PFIC-3|GBD1"	"PGY3|MDR3"	ATP binding cassette subfamily B member 4
ABCB5	"EST422562|ABCB5beta|ABCB5alpha"		ATP binding cassette subfamily B member 5
ABCB6	"EST45597|umat|MTABC3"		ATP binding cassette subfamily B member 6 (LAN blood group)
ABCB7	"EST140535|Atm1p|ASAT"	ABC7	ATP binding cassette subfamily B member 7
ABCB8	"EST328128|M-ABC1|MABC1|MITOSUR"		ATP binding cassette subfamily B member 8
ABCB9	EST122234		ATP binding cassette subfamily B member 9
ABCB10	"EST20237|M-ABC2|MTABC2"		ATP binding cassette subfamily B member 10
ABCB10P1	"M-ABC2|MABC2"	"ABCB10P|ABCB10P2"	ABCB10 pseudogene 1
ABCB10P3			ABCB10 pseudogene 3
ABCB10P4			ABCB10 pseudogene 4
ABCB11	"ABC16|SPGP|PFIC-2|PGY4"	"BSEP|PFIC2"	ATP binding cassette subfamily B member 11
ABCC1	GS-X	"MRP|MRP1"	ATP binding cassette subfamily C member 1 (ABCC1 blood group)
ABCC2	"DJS|MRP2|cMRP"	CMOAT	ATP binding cassette subfamily C member 2
ABCC3	"MRP3|cMOAT2|EST90757|MLP2|MOAT-D"		ATP binding cassette subfamily C member 3
ABCC4	"MRP4|EST170205|MOAT-B|MOATB"		ATP binding cassette subfamily C member 4 (PEL blood group)
ABCC5	"MRP5|SMRP|EST277145|MOAT-C"		ATP binding cassette subfamily C member 5
ABCC5-AS1			ABCC5 antisense RNA 1
ABCC6	"MRP6|EST349056|MLP1|URG7"	"ARA|PXE"	ATP binding cassette subfamily C member 6
